date,fii_buy,fii_sell,fii_net,dii_buy,dii_sell,dii_net
2025-01-01,1041.63,1808.97,-767.34,1036296.16,1023985.03,12311.13
2025-01-02,5504.48,3633.35,1871.13,2857840.13,2881398.60,-23558.47
2025-01-03,3467.83,5388.70,-1920.87,799849.12,802979.72,-3130.60
2025-01-06,5422.57,5180.72,241.85,1170933.09,1143289.46,27643.63
2025-01-07,3382.47,3417.81,-35.34,836048.73,854161.26,-18112.53
2025-01-08,2890.44,4256.11,-1365.67,1683080.39,1706737.78,-23657.39
2025-01-09,2426.55,4613.40,-2186.85,2501642.58,2524254.83,-22612.25
2025-01-10,3326.09,4346.38,-1020.29,973084.94,973553.01,-468.07
2025-01-13,5425.69,6844.73,-1419.04,985417.10,957369.15,28047.95
2025-01-14,3409.77,3867.85,-458.08,930815.37,907864.08,22951.29
2025-01-15,2317.56,2130.92,186.64,1407729.26,1473277.51,-65548.25
2025-01-16,2815.95,3696.92,-880.97,2384157.49,2365976.22,18181.27
2025-01-17,2317.56,4724.15,-2406.59,892108.66,906103.46,-13994.80
2025-01-20,2563.18,2860.90,-297.72,865027.74,853293.26,11734.48
2025-01-21,3871.98,6300.15,-2428.17,1460296.58,1463233.58,-2937.00
2025-01-22,4356.53,5327.05,-970.52,1627402.65,1677528.12,-50125.47
2025-01-23,3772.23,3054.38,717.85,2526773.62,2526140.57,633.05
2025-01-24,5897.10,5593.88,303.22,969743.99,982489.11,-12745.12
2025-01-27,7607.39,7641.70,-34.31,862661.32,861296.79,1364.53
2025-01-28,10421.04,10910.37,-489.33,1214016.66,1209794.94,4221.72
2025-01-29,7536.88,7371.10,165.78,1238443.26,1216850.16,21593.10
2025-01-30,7559.86,11707.98,-4148.12,3455018.19,3495962.57,-40944.38
2025-01-31,3428.55,3637.73,-209.18,537614.24,575656.49,-38042.25
2025-02-01,4178.68,4013.42,165.26,848127.70,844815.20,3312.50
2025-02-03,3067.24,4734.53,-1667.29,887660.57,909320.02,-21659.45
2025-02-04,10108.77,4755.27,5353.50,1216104.21,1207081.27,9022.94
2025-02-05,2938.94,2305.80,633.14,1230379.15,1246070.17,-15691.02
2025-02-06,2082.05,3303.58,-1221.53,2085195.65,2072759.41,12436.24
2025-02-07,3072.54,4155.44,-1082.90,707597.20,699735.54,7861.66
2025-02-10,1976.16,3790.81,-1814.65,643658.14,636935.35,6722.79
2025-02-11,2893.18,4577.69,-1684.51,1027879.36,1023921.06,3958.30
2025-02-12,4992.67,5418.48,-425.81,1350444.71,1355093.12,-4648.41
2025-02-13,3828.00,3315.78,512.22,2434022.14,2426947.66,7074.48
2025-02-14,3829.00,4687.73,-858.73,634638.67,626867.79,7770.88
2025-02-17,4262.82,3674.51,588.31,574974.66,576735.32,-1760.66
2025-02-18,4166.62,4470.00,-303.38,577999.21,576281.66,1717.55
2025-02-19,3789.04,3605.71,183.33,855531.92,853607.79,1924.13
2025-02-20,3182.96,4244.22,-1061.26,1607339.67,1613558.48,-6218.81
2025-02-21,7124.75,7106.41,18.34,552204.96,550975.41,1229.55
2025-02-24,11989.95,13381.07,-1391.12,889696.25,891550.86,-1854.61
2025-02-25,10769.83,10662.32,107.51,841892.55,845212.84,-3320.29
2025-02-27,14935.63,13982.25,953.38,2032913.65,2063638.27,-30724.62
2025-02-28,4346.90,6820.44,-2473.54,683432.41,686620.88,-3188.47
2025-03-03,4051.74,3905.70,146.04,757531.66,759055.26,-1523.60
2025-03-04,3044.36,3081.31,-36.95,672147.23,646098.33,26048.90
2025-03-05,3634.31,3223.74,410.57,1096917.46,1095623.04,1294.42
2025-03-06,5934.83,4190.98,1743.85,2914739.27,2933133.72,-18394.45
2025-03-07,2773.06,3050.70,-277.64,722965.79,707223.69,15742.10
2025-03-10,2614.24,3115.96,-501.72,864885.66,858640.05,6245.61
2025-03-11,2954.57,2874.40,80.17,914774.09,894544.64,20229.45
2025-03-12,2285.29,3107.92,-822.63,1440455.24,1448521.74,-8066.50
2025-03-13,2605.02,2749.06,-144.04,2235440.69,2310714.82,-75274.13
2025-03-17,3213.96,1314.69,1899.27,710502.26,697045.59,13456.67
2025-03-18,7575.79,2814.43,4761.36,842567.23,856486.51,-13919.28
2025-03-19,5106.43,3114.35,1992.08,946716.43,924014.46,22701.97
2025-03-20,6625.46,3692.02,2933.44,2084868.59,2151379.60,-66511.01
2025-03-21,5605.73,3186.70,2419.03,1045911.07,1060099.69,-14188.62
2025-03-24,5997.51,5656.56,340.95,1428568.87,1447881.48,-19312.61
2025-03-25,8984.29,8064.53,919.76,1616366.21,1590600.15,25766.06
2025-03-26,16097.21,14768.17,1329.04,2005076.88,1981930.78,23146.10
2025-03-27,3210.44,6326.51,-3116.07,1067233.65,1086780.80,-19547.15
2025-04-01,3127.89,6054.50,-2926.61,1236326.97,1226321.03,10005.94
2025-04-02,2583.82,1920.99,662.83,1453724.11,1483446.50,-29722.39
2025-04-03,2370.94,4281.36,-1910.42,2431327.44,2449384.96,-18057.52
2025-04-04,4054.62,6330.77,-2276.15,1150634.90,1119531.87,31103.03
2025-04-07,9114.28,12449.15,-3334.87,1285828.94,1271195.72,14633.22
2025-04-08,4744.63,5075.79,-331.16,1751534.02,1685406.44,66127.58
2025-04-09,4435.72,5584.59,-1148.87,2519734.52,2611389.38,-91654.86
2025-04-11,5792.20,3374.04,2418.16,983354.55,949709.56,33644.99
2025-04-15,5792.44,3495.59,2296.85,945494.45,1033135.15,-87640.70
2025-04-16,3434.10,3262.00,172.10,1666970.25,1631998.63,34971.62
2025-04-17,7011.97,6572.82,439.15,4136936.75,4200101.23,-63164.48
2025-04-21,9634.26,8534.79,1099.47,1298979.98,1323625.04,-24645.06
2025-04-23,11207.23,9881.11,1326.12,2265931.84,2277944.11,-12012.27
2025-04-24,8145.88,7190.31,955.57,3797906.65,3806832.40,-8925.75
2025-04-25,6969.88,8642.22,-1672.34,1199492.20,1258851.33,-59359.13
2025-04-28,4843.22,2632.71,2210.51,1166856.62,1175751.30,-8894.68
2025-04-29,3707.23,2796.55,910.68,1273258.71,1284748.84,-11490.13
2025-04-30,3993.01,2573.30,1419.71,2627544.55,2601141.29,26403.26
2025-05-02,5110.57,4815.31,295.26,1244489.58,1275503.32,-31013.74
2025-05-05,3589.23,3057.72,531.51,954623.79,990377.45,-35753.66
2025-05-06,3482.65,2930.51,552.14,958141.47,934746.88,23394.59
2025-05-07,3831.44,3362.26,469.18,1463493.25,1467961.69,-4468.44
2025-05-08,6639.44,5300.80,1338.64,2662281.87,2574740.00,87541.87
2025-05-09,4653.77,7245.33,-2591.56,960053.12,988936.57,-28883.45
2025-05-12,6763.66,5552.37,1211.29,1292976.01,1285205.01,7771.00
2025-05-13,4327.01,10995.29,-6668.28,1421528.02,1434762.98,-13234.96
2025-05-14,3577.76,3320.25,257.51,1701620.32,1702994.86,-1374.54
2025-05-15,9253.75,5296.04,3957.71,4616685.53,4610105.60,6579.93
2025-05-16,2653.47,4446.36,-1792.89,741465.56,748508.34,-7042.78
2025-05-19,2563.83,2650.58,-86.75,777646.50,776709.44,937.06
2025-05-20,2790.70,5574.90,-2784.20,1148053.28,1141411.22,6642.06
2025-05-21,3535.23,3333.81,201.42,1747614.57,1712315.19,35299.38
2025-05-22,3769.97,6939.22,-3169.25,3396756.73,3442285.86,-45529.13
2025-05-23,5791.42,5639.49,151.93,939041.63,923531.13,15510.50
2025-05-26,6711.44,6146.24,565.20,880061.84,837345.95,42715.89
2025-05-27,11321.14,14310.19,-2989.05,1319875.30,1301168.85,18706.45
2025-05-28,7272.30,9372.50,-2100.20,1327796.27,1426580.77,-98784.50
2025-05-29,8166.63,11031.45,-2864.82,4165320.20,4163534.02,1786.18
2025-05-30,3214.14,4294.71,-1080.57,665009.67,643753.83,21255.84
2025-06-02,3504.83,4451.68,-946.85,904120.23,874002.31,30117.92
2025-06-03,3502.22,6049.21,-2546.99,1194811.10,1218154.33,-23343.23
2025-06-04,2305.43,2248.28,57.15,941179.54,960079.62,-18900.08
2025-06-05,3230.09,4017.49,-787.40,3447900.07,3433446.46,14453.61
2025-06-06,7499.30,5043.19,2456.11,1008749.13,1009531.14,-782.01
2025-06-09,2935.11,3472.77,-537.66,568816.50,575935.61,-7119.11
2025-06-10,2451.88,1891.78,560.10,838901.42,834580.07,4321.35
2025-06-11,3315.96,2070.33,1245.63,1340332.95,1283386.21,56946.74
2025-06-12,3672.62,6010.51,-2337.89,3738169.88,3746632.25,-8462.37
2025-06-13,3733.55,4509.68,-776.13,874267.82,875696.80,-1428.98
2025-06-16,3766.57,3346.19,420.38,999765.17,1006328.80,-6563.63
2025-06-17,3549.73,3155.86,393.87,932409.19,924297.13,8112.06
2025-06-18,3201.44,3157.86,43.58,1427526.15,1441395.18,-13869.03
2025-06-19,3302.42,2876.57,425.85,3344454.10,3314278.26,30175.84
2025-06-20,6422.39,6304.64,117.75,1193815.89,1216181.51,-22365.62
2025-06-23,6223.73,7398.09,-1174.36,1192191.59,1178545.56,13646.03
2025-06-24,12646.69,14104.46,-1457.77,2071072.05,2102876.98,-31804.93
2025-06-25,6913.66,6385.40,528.26,1816975.25,1795882.33,21092.92
2025-06-26,13044.43,8237.76,4806.67,5922656.53,5890383.02,32273.51
2025-06-27,2715.78,2424.98,290.80,841409.04,853460.63,-12051.59
2025-06-30,3070.28,3973.13,-902.85,1048007.24,1058911.63,-10904.39
2025-07-01,2329.10,2444.77,-115.67,872412.88,844765.49,27647.39
2025-07-02,1884.72,3942.21,-2057.49,1849009.41,1865637.74,-16628.33
2025-07-03,2945.88,5389.47,-2443.59,3907212.65,3841721.45,65491.20
2025-07-04,2056.40,2803.85,-747.45,785237.82,786618.99,-1381.17
2025-07-07,2131.82,2799.86,-668.04,753074.66,756859.13,-3784.47
2025-07-08,1982.24,2251.15,-268.91,715600.84,718308.41,-2707.57
2025-07-09,1745.59,2737.02,-991.43,1111788.61,1115075.12,-3286.51
2025-07-10,2456.21,4290.15,-1833.94,2292246.76,2285481.14,6765.62
2025-07-11,2446.48,5984.24,-3537.76,626533.80,629776.15,-3242.35
2025-07-14,2866.55,6144.39,-3277.84,671908.15,681871.93,-9963.78
2025-07-15,2427.25,2580.51,-153.26,773217.37,768879.96,4337.41
2025-07-16,1957.17,2648.13,-690.96,826286.28,826165.28,121.00
2025-07-17,1917.86,3907.09,-1989.23,1658684.39,1644699.10,13985.29
2025-07-18,2889.86,5285.28,-2395.42,621086.65,624616.48,-3529.83
2025-07-21,2926.87,2356.53,570.34,743010.21,752490.32,-9480.11
