instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|50973,50973,NIFTY26JUN27000CE,NIFTY,146.25,2026-06-30,27000.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|50976,50976,NIFTY26JUN27000PE,NIFTY,2522.75,2026-06-30,27000.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|50978,50978,NIFTY26DEC27000CE,NIFTY,659.35,2026-12-29,27000.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|50979,50979,NIFTY26DEC27000PE,NIFTY,2153.7,2026-12-29,27000.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|50981,50981,NIFTY27JUN27000CE,NIFTY,1932.5,2027-06-29,27000.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|50984,50984,NIFTY27JUN27000PE,NIFTY,6273.45,2027-06-29,27000.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|70184,70184,FINNIFTY26APR28600CE,FINNIFTY,440.9,2026-04-28,28600.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70193,70193,FINNIFTY26APR28600PE,FINNIFTY,1544.9,2026-04-28,28600.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70194,70194,FINNIFTY26APR28700CE,FINNIFTY,412.55,2026-04-28,28700.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70195,70195,FINNIFTY26APR28700PE,FINNIFTY,1615.0,2026-04-28,28700.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70170,70170,FINNIFTY26APR28200CE,FINNIFTY,569.5,2026-04-28,28200.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70172,70172,FINNIFTY26APR28200PE,FINNIFTY,1279.65,2026-04-28,28200.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70179,70179,FINNIFTY26APR28400CE,FINNIFTY,502.1,2026-04-28,28400.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70173,70173,FINNIFTY26APR28300CE,FINNIFTY,535.0,2026-04-28,28300.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70174,70174,FINNIFTY26APR28300PE,FINNIFTY,1343.6,2026-04-28,28300.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70180,70180,FINNIFTY26APR28400PE,FINNIFTY,1409.2,2026-04-28,28400.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70182,70182,FINNIFTY26APR28500CE,FINNIFTY,470.75,2026-04-28,28500.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70183,70183,FINNIFTY26APR28500PE,FINNIFTY,1476.3,2026-04-28,28500.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70140,70140,FINNIFTY26APR28000CE,FINNIFTY,643.4,2026-04-28,28000.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70156,70156,FINNIFTY26APR28100CE,FINNIFTY,605.65,2026-04-28,28100.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70153,70153,FINNIFTY26APR28000PE,FINNIFTY,1156.6,2026-04-28,28000.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70160,70160,FINNIFTY26APR28100PE,FINNIFTY,1217.3,2026-04-28,28100.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70124,70124,FINNIFTY26APR27400PE,FINNIFTY,828.5,2026-04-28,27400.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70125,70125,FINNIFTY26APR27500CE,FINNIFTY,857.95,2026-04-28,27500.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70137,70137,FINNIFTY26APR27900CE,FINNIFTY,682.85,2026-04-28,27900.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70138,70138,FINNIFTY26APR27900PE,FINNIFTY,1097.6,2026-04-28,27900.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70133,70133,FINNIFTY26APR27700CE,FINNIFTY,766.9,2026-04-28,27700.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70134,70134,FINNIFTY26APR27700PE,FINNIFTY,984.7,2026-04-28,27700.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70135,70135,FINNIFTY26APR27800CE,FINNIFTY,724.0,2026-04-28,27800.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70136,70136,FINNIFTY26APR27800PE,FINNIFTY,1040.3,2026-04-28,27800.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70130,70130,FINNIFTY26APR27500PE,FINNIFTY,878.8,2026-04-28,27500.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70131,70131,FINNIFTY26APR27600CE,FINNIFTY,811.55,2026-04-28,27600.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70132,70132,FINNIFTY26APR27600PE,FINNIFTY,930.85,2026-04-28,27600.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70067,70067,FINNIFTY26APR27100CE,FINNIFTY,1061.4,2026-04-28,27100.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70063,70063,FINNIFTY26APR27000PE,FINNIFTY,645.25,2026-04-28,27000.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70071,70071,FINNIFTY26APR27100PE,FINNIFTY,688.4,2026-04-28,27100.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70072,70072,FINNIFTY26APR27200CE,FINNIFTY,1007.9,2026-04-28,27200.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70075,70075,FINNIFTY26APR27200PE,FINNIFTY,733.35,2026-04-28,27200.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70076,70076,FINNIFTY26APR27300CE,FINNIFTY,956.15,2026-04-28,27300.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70048,70048,FINNIFTY26APR26500PE,FINNIFTY,455.9,2026-04-28,26500.0,0.05,60.0,OPTIDX,PE,NSE_FO
NSE_FO|70050,70050,FINNIFTY26APR26600CE,FINNIFTY,1355.65,2026-04-28,26600.0,0.05,60.0,OPTIDX,CE,NSE_FO
NSE_FO|70056,70056,FINNIFTY26APR26800CE,FINNIFTY,1232.7,2026-04-28,26800.0,0.05,60.0,OPTIDX,CE,NSE_FO
